Sentiment,Stock_Movement
0.1766666666666666,1
0.0213333333333333,1
0.14375,1
-0.0591991341991342,0
0.18,1
0.1590909090909091,1
0.1125777867965368,1
-0.0324074074074074,0
0.0730331262939958,1
0.0979166666666666,1
-0.0020408163265306,0
0.1174019607843137,1
0.075,1
0.0768241167434715,1
-0.1499999999999999,0
-0.0277777777777777,0
0.1307017543859649,1
0.1387445887445887,1
-0.0189393939393939,0
-0.01,0
0.0229166666666666,1
0.0145975056689342,1
0.0682692307692307,1
-0.18,0
-0.0916666666666666,0
0.175,1
0.0072727272727272,1
0.2460565476190476,1
-0.0277777777777777,0
0.0124999999999999,1
0.1797161172161172,1
0.1467086834733894,1
0.0780936147186147,1
0.060047619047619,1
0.038095238095238,1
0.1603877363617624,1
0.0149621212121212,1
0.0622023809523809,1
0.1549999999999999,1
-0.3256944444444444,0
0.0187499999999999,1
0.0499999999999999,1
-0.0666666666666666,0
0.1163901128633271,1
0.0172043010752688,1
0.0550125313283208,1
0.5,1
0.0297878787878787,1
0.15,1
0.1957070707070707,1
0.0810344827586206,1
0.0181111111111111,1
0.0614130434782608,1
-0.2666666666666666,0
0.0595238095238095,1
0.1996031746031746,1
0.090717435122197,1
0.1529411764705882,1
0.0238095238095238,1
0.07004662004662,1
-0.0277777777777777,0
0.1068640183346066,1
0.0717333333333333,1
0.0945578231292516,1
0.1104895104895104,1
-0.0182814992025518,0
0.1664682539682539,1
0.09,1
0.01,1
0.0213333333333333,1
0.1804696969696969,1
-0.0053333333333333,0
0.0,0
0.0642857142857143,1
-0.0277777777777777,0
-0.002550505050505,0
0.0439090909090909,1
0.0777777777777777,1
-0.0875,0
-0.0253968253968254,0
0.0416666666666666,1
0.3833333333333333,1
0.1317090671885192,1
0.0416666666666666,1
0.1531249999999999,1
0.1922664141414141,1
-0.0645952380952381,0
0.0803030303030303,1
-0.0057851239669421,0
-0.0277777777777777,0
0.2460565476190476,1
0.0233333333333333,1
0.1852941176470588,1
0.1498526077097505,1
0.0190800865800865,1
0.1888888888888889,1
0.1642156862745098,1
0.1083333333333333,1
-0.1078125,0
0.0149621212121212,1
0.1366666666666667,1
0.1419871794871794,1
0.11875,1
-0.1541666666666666,0
0.0202380952380952,1
-0.1477272727272727,0
0.0879634974079418,1
0.0923560606060606,1
0.0662121212121212,1
0.2133003421309873,1
0.0437301587301587,1
0.0317394726485635,1
-0.0271915584415584,0
0.1057878787878787,1
0.1244660894660894,1
0.0909090909090909,1
0.425,1
0.1020833333333333,1
-0.0053571428571428,0
-0.0157407407407407,0
0.0067857142857142,1
0.0550125313283208,1
0.1336219336219336,1
0.0921768707482993,1
0.1097622779519331,1
-0.1336538461538461,0
0.02,1
